"timestamp","floor","parking","parkingarea","datetm"
"2025-07-15 14:15:00",T1 단기주차장지하1층,"702","1005","20250715141351.504"
"2025-07-15 14:15:00",T1 단기주차장지상층,"887","1052","20250715141351.504"
"2025-07-15 14:15:00",T2 단기주차장지상2층,"640","947","20250715141351.5"
"2025-07-15 14:15:00",T2 단기주차장지상4층,"611","976","20250715141351.5"
"2025-07-15 14:15:00",T2 단기주차장지하M층,"474","751","20250715141351.5"
"2025-07-15 14:15:00",T1 장기 P1 주차타워,"1377","1379","20250715141351.508"
"2025-07-15 14:15:00",T1 장기 P1 주차장,"2921","2769","20250715141351.504"
"2025-07-15 14:15:00",T2 예약 주차장,"862","924","20250715141351.51"
"2025-07-15 14:15:00",T1 장기 P4 주차장,"1158","1727","20250715141351.51"
"2025-07-15 14:15:00",T2 단기주차장지상3층,"507","896","20250715141351.5"
"2025-07-15 14:15:00",T1 장기 P2 주차타워,"1379","1379","20250715141351.508"
"2025-07-15 14:15:00",T1 장기 P3 주차장,"1077","1605","20250715141351.508"
"2025-07-15 14:15:00",T2 장기 주차장,"4134","9296","20250715141351.504"
"2025-07-15 14:15:00",T2 단기주차장지상1층,"548","988","20250715141351.5"
"2025-07-15 14:15:00",T1 장기 P2 주차장,"2551","2581","20250715141351.504"
"2025-07-15 14:15:00",T1 P5 예약주차장,"1121","1256","20250715141351.508"
"2025-07-15 14:15:00",T1 단기주차장지하2층,"1138","1334","20250715141351.504"
"2025-07-15 14:20:00",T1 단기주차장지상층,"909","1052","20250715141952.305"
"2025-07-15 14:20:00",T1 장기 P2 주차장,"2547","2581","20250715141952.305"
"2025-07-15 14:20:00",T1 P5 예약주차장,"1121","1256","20250715141952.31"
"2025-07-15 14:20:00",T1 장기 P1 주차타워,"1377","1379","20250715141952.305"
"2025-07-15 14:20:00",T2 단기주차장지하M층,"469","751","20250715141952.3"
"2025-07-15 14:20:00",T2 단기주차장지상3층,"509","896","20250715141952.3"
"2025-07-15 14:20:00",T1 장기 P3 주차장,"1075","1605","20250715141952.31"
"2025-07-15 14:20:00",T2 예약 주차장,"864","924","20250715141952.31"
